month,city,sales_channel,category_l1,category_l2,customer_type,promotion_type,paying_customers,paid_orders,units_sold,gmv
2024-01,北辰市,自营App,厨房用品,烹饪器具,新客户,无促销,166,181,261,18217.80
2024-01,北辰市,自营App,厨房用品,烹饪器具,新客户,优惠券,49,54,78,5038.80
2024-01,北辰市,自营App,厨房用品,烹饪器具,新客户,平台大促,27,29,42,2461.62
2024-01,北辰市,自营App,厨房用品,烹饪器具,新客户,会员优惠,30,33,46,2861.66
2024-01,北辰市,自营App,厨房用品,餐厨工具,新客户,无促销,148,165,235,7806.70
2024-01,北辰市,自营App,厨房用品,餐厨工具,新客户,优惠券,44,48,68,2082.16
2024-01,北辰市,自营App,厨房用品,餐厨工具,新客户,平台大促,24,27,39,1074.84
2024-01,北辰市,自营App,厨房用品,餐厨工具,新客户,会员优惠,27,30,43,1284.41
2024-01,北辰市,自营App,厨房用品,烹饪器具,老客户,无促销,150,195,276,19264.80
2024-01,北辰市,自营App,厨房用品,烹饪器具,老客户,优惠券,44,57,81,5232.60
2024-01,北辰市,自营App,厨房用品,烹饪器具,老客户,平台大促,25,33,46,2696.06
2024-01,北辰市,自营App,厨房用品,烹饪器具,老客户,会员优惠,44,57,82,5101.22
2024-01,北辰市,自营App,厨房用品,餐厨工具,老客户,无促销,133,174,249,8271.78
2024-01,北辰市,自营App,厨房用品,餐厨工具,老客户,优惠券,39,52,73,2235.26
2024-01,北辰市,自营App,厨房用品,餐厨工具,老客户,平台大促,22,28,39,1074.84
2024-01,北辰市,自营App,厨房用品,餐厨工具,老客户,会员优惠,39,51,73,2180.51
2024-01,北辰市,自营App,收纳用品,衣物收纳,新客户,无促销,129,141,222,9235.20
2024-01,北辰市,自营App,收纳用品,衣物收纳,新客户,优惠券,38,42,66,2584.56
2024-01,北辰市,自营App,收纳用品,衣物收纳,新客户,平台大促,21,23,36,1276.20
2024-01,北辰市,自营App,收纳用品,衣物收纳,新客户,会员优惠,23,26,40,1524.00
2024-01,北辰市,自营App,收纳用品,空间整理,新客户,无促销,114,125,191,10659.71
2024-01,北辰市,自营App,收纳用品,空间整理,新客户,优惠券,34,38,60,3140.40
2024-01,北辰市,自营App,收纳用品,空间整理,新客户,平台大促,19,21,32,1512.32
2024-01,北辰市,自营App,收纳用品,空间整理,新客户,会员优惠,20,22,34,1737.06
2024-01,北辰市,自营App,收纳用品,衣物收纳,老客户,无促销,121,158,248,10316.80
2024-01,北辰市,自营App,收纳用品,衣物收纳,老客户,优惠券,36,46,71,2780.36
2024-01,北辰市,自营App,收纳用品,衣物收纳,老客户,平台大促,20,26,40,1418.00
2024-01,北辰市,自营App,收纳用品,衣物收纳,老客户,会员优惠,36,48,74,2819.40
2024-01,北辰市,自营App,收纳用品,空间整理,老客户,无促销,107,140,217,12110.77
2024-01,北辰市,自营App,收纳用品,空间整理,老客户,优惠券,32,42,64,3349.76
2024-01,北辰市,自营App,收纳用品,空间整理,老客户,平台大促,18,24,38,1795.88
2024-01,北辰市,自营App,收纳用品,空间整理,老客户,会员优惠,32,42,65,3320.85
2024-01,北辰市,自营App,清洁用品,清洁工具,新客户,无促销,152,165,280,10516.80
2024-01,北辰市,自营App,清洁用品,清洁工具,新客户,优惠券,45,49,83,2963.10
2024-01,北辰市,自营App,清洁用品,清洁工具,新客户,平台大促,25,28,46,1458.20
2024-01,北辰市,自营App,清洁用品,清洁工具,新客户,会员优惠,27,30,50,1737.50
2024-01,北辰市,自营App,清洁用品,家居耗材,新客户,无促销,134,145,241,6082.84
2024-01,北辰市,自营App,清洁用品,家居耗材,新客户,优惠券,40,44,73,1696.52
2024-01,北辰市,自营App,清洁用品,家居耗材,新客户,平台大促,22,24,40,846.00
2024-01,北辰市,自营App,清洁用品,家居耗材,新客户,会员优惠,24,27,46,1047.88
2024-01,北辰市,自营App,清洁用品,清洁工具,老客户,无促销,143,186,311,11681.16
2024-01,北辰市,自营App,清洁用品,清洁工具,老客户,优惠券,42,55,92,3284.40
2024-01,北辰市,自营App,清洁用品,清洁工具,老客户,平台大促,23,30,51,1616.70
2024-01,北辰市,自营App,清洁用品,清洁工具,老客户,会员优惠,42,55,91,3162.25
2024-01,北辰市,自营App,清洁用品,家居耗材,老客户,无促销,127,164,279,7041.96
2024-01,北辰市,自营App,清洁用品,家居耗材,老客户,优惠券,37,48,82,1905.68
2024-01,北辰市,自营App,清洁用品,家居耗材,老客户,平台大促,21,28,47,994.05
2024-01,北辰市,自营App,清洁用品,家居耗材,老客户,会员优惠,38,51,86,1959.08
2024-01,北辰市,自营App,小家电,厨房小电,新客户,无促销,113,122,137,29713.93
2024-01,北辰市,自营App,小家电,厨房小电,新客户,优惠券,33,36,41,8338.99
2024-01,北辰市,自营App,小家电,厨房小电,新客户,平台大促,19,21,23,4208.31
2024-01,北辰市,自营App,小家电,厨房小电,新客户,会员优惠,20,22,25,5005.75
2024-01,北辰市,自营App,小家电,生活电器,新客户,无促销,100,110,123,20944.44
2024-01,北辰市,自营App,小家电,生活电器,新客户,优惠券,29,32,36,5640.84
2024-01,北辰市,自营App,小家电,生活电器,新客户,平台大促,16,18,20,2829.20
2024-01,北辰市,自营App,小家电,生活电器,新客户,会员优惠,18,19,21,3245.34
2024-01,北辰市,自营App,小家电,厨房小电,老客户,无促销,105,138,154,33401.06
2024-01,北辰市,自营App,小家电,厨房小电,老客户,优惠券,31,41,46,9355.94
2024-01,北辰市,自营App,小家电,厨房小电,老客户,平台大促,17,23,25,4574.25
2024-01,北辰市,自营App,小家电,厨房小电,老客户,会员优惠,31,41,46,9210.58
2024-01,北辰市,自营App,小家电,生活电器,老客户,无促销,93,124,141,24009.48
2024-01,北辰市,自营App,小家电,生活电器,老客户,优惠券,28,37,41,6424.29
2024-01,北辰市,自营App,小家电,生活电器,老客户,平台大促,15,20,22,3112.12
2024-01,北辰市,自营App,小家电,生活电器,老客户,会员优惠,28,37,41,6336.14
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,新客户,无促销,119,133,187,12762.75
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,新客户,优惠券,35,38,55,3483.70
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,新客户,平台大促,20,22,32,1821.12
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,新客户,会员优惠,21,23,33,2042.70
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,新客户,无促销,105,114,163,5276.31
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,新客户,优惠券,31,34,48,1456.32
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,新客户,平台大促,17,19,27,729.27
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,新客户,会员优惠,19,21,30,874.50
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,老客户,无促销,101,133,191,13035.75
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,老客户,优惠券,30,40,58,3673.72
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,老客户,平台大促,17,23,33,1878.03
2024-01,北辰市,自营小程序,厨房用品,烹饪器具,老客户,会员优惠,30,39,56,3466.40
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,老客户,无促销,90,116,165,5341.05
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,老客户,优惠券,26,34,47,1425.98
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,老客户,平台大促,15,19,27,729.27
2024-01,北辰市,自营小程序,厨房用品,餐厨工具,老客户,会员优惠,27,36,52,1515.80
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,新客户,无促销,95,104,159,6538.08
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,新客户,优惠券,28,31,48,1817.28
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,新客户,平台大促,16,18,28,967.40
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,新客户,会员优惠,17,19,29,1091.85
2024-01,北辰市,自营小程序,收纳用品,空间整理,新客户,无促销,84,94,146,8027.08
2024-01,北辰市,自营小程序,收纳用品,空间整理,新客户,优惠券,25,27,41,2068.45
2024-01,北辰市,自营小程序,收纳用品,空间整理,新客户,平台大促,14,16,25,1154.00
2024-01,北辰市,自营小程序,收纳用品,空间整理,新客户,会员优惠,15,17,26,1288.30
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,老客户,无促销,77,103,157,6455.84
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,老客户,优惠券,23,30,47,1779.42
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,老客户,平台大促,12,16,25,863.75
2024-01,北辰市,自营小程序,收纳用品,衣物收纳,老客户,会员优惠,23,30,46,1731.90
2024-01,北辰市,自营小程序,收纳用品,空间整理,老客户,无促销,68,90,141,7752.18
2024-01,北辰市,自营小程序,收纳用品,空间整理,老客户,优惠券,20,26,41,2068.45
2024-01,北辰市,自营小程序,收纳用品,空间整理,老客户,平台大促,11,14,22,1015.52
2024-01,北辰市,自营小程序,收纳用品,空间整理,老客户,会员优惠,20,27,42,2081.10
2024-01,北辰市,自营小程序,清洁用品,清洁工具,新客户,无促销,115,129,217,8100.61
2024-01,北辰市,自营小程序,清洁用品,清洁工具,新客户,优惠券,34,37,62,2139.62
2024-01,北辰市,自营小程序,清洁用品,清洁工具,新客户,平台大促,19,21,35,1106.00
2024-01,北辰市,自营小程序,清洁用品,清洁工具,新客户,会员优惠,21,23,38,1284.78
2024-01,北辰市,自营小程序,清洁用品,家居耗材,新客户,无促销,102,114,190,4649.30
2024-01,北辰市,自营小程序,清洁用品,家居耗材,新客户,优惠券,30,32,55,1256.20
2024-01,北辰市,自营小程序,清洁用品,家居耗材,新客户,平台大促,16,18,30,612.00
