month,city,sales_channel,traffic_source,customer_type,visit_users,product_detail_users,paying_customers
2024-01,北辰市,自营App,自然流量,新客户,8208,5142,817
2024-01,北辰市,自营App,付费投放,新客户,5344,2584,296
2024-01,北辰市,自营App,私域触达,新客户,3436,2383,447
2024-01,北辰市,自营App,内容合作,新客户,2100,1220,170
2024-01,北辰市,自营App,自然流量,老客户,6117,4170,830
2024-01,北辰市,自营App,付费投放,老客户,3983,2079,298
2024-01,北辰市,自营App,私域触达,老客户,2560,1819,427
2024-01,北辰市,自营App,内容合作,老客户,1565,935,164
2024-01,北辰市,自营小程序,自然流量,新客户,6417,4128,672
2024-01,北辰市,自营小程序,付费投放,新客户,4178,2003,235
2024-01,北辰市,自营小程序,私域触达,新客户,2686,1870,359
2024-01,北辰市,自营小程序,自然流量,老客户,4495,3003,599
2024-01,北辰市,自营小程序,付费投放,老客户,2927,1509,217
2024-01,北辰市,自营小程序,私域触达,老客户,1882,1383,326
2024-01,北辰市,第三方平台,自然流量,新客户,5553,3577,613
2024-01,北辰市,第三方平台,付费投放,新客户,3616,1699,210
2024-01,北辰市,第三方平台,内容合作,新客户,1421,808,122
2024-01,北辰市,第三方平台,自然流量,老客户,3842,2605,561
2024-01,北辰市,第三方平台,付费投放,老客户,2501,1328,206
2024-01,北辰市,第三方平台,内容合作,老客户,983,597,113
2024-01,云岭市,自营App,自然流量,新客户,7098,4451,721
2024-01,云岭市,自营App,付费投放,新客户,4622,2198,256
2024-01,云岭市,自营App,私域触达,新客户,2971,1975,378
2024-01,云岭市,自营App,内容合作,新客户,1816,1025,146
2024-01,云岭市,自营App,自然流量,老客户,4970,3341,656
2024-01,云岭市,自营App,付费投放,老客户,3237,1680,238
2024-01,云岭市,自营App,私域触达,老客户,2081,1491,346
2024-01,云岭市,自营App,内容合作,老客户,1271,782,135
2024-01,云岭市,自营小程序,自然流量,新客户,5378,3369,546
2024-01,云岭市,自营小程序,付费投放,新客户,3502,1689,197
2024-01,云岭市,自营小程序,私域触达,新客户,2252,1523,291
2024-01,云岭市,自营小程序,自然流量,老客户,3872,2593,509
2024-01,云岭市,自营小程序,付费投放,老客户,2522,1305,184
2024-01,云岭市,自营小程序,私域触达,老客户,1621,1164,269
2024-01,云岭市,第三方平台,自然流量,新客户,4757,3037,520
2024-01,云岭市,第三方平台,付费投放,新客户,3098,1480,183
2024-01,云岭市,第三方平台,内容合作,新客户,1217,677,102
