month,city,sales_channel,category_l1,gmv,refund_amount,net_sales,cogs,gross_profit,marketing_expense,fulfillment_expense,channel_fee,contribution_profit
2024-01,北辰市,自营App,厨房用品,86885.06,5378.54,81506.52,51768.74,29737.78,2453.46,6798.40,1042.62,19443.30
2024-01,北辰市,自营App,收纳用品,69581.27,5102.43,64478.84,37868.58,26610.26,1964.83,5398.40,834.98,18412.05
2024-01,北辰市,自营App,清洁用品,57994.12,2967.15,55026.97,33012.50,22014.47,1637.64,6322.40,695.93,13358.50
2024-01,北辰市,自营App,小家电,176350.66,17341.46,159009.20,120796.83,38212.37,4979.78,4709.60,2116.21,26406.78
2024-01,北辰市,自营小程序,厨房用品,59512.67,3647.21,55865.46,36228.78,19636.68,1410.48,4726.40,595.13,12904.67
2024-01,北辰市,自营小程序,收纳用品,46700.60,3397.66,43302.94,25896.92,17406.02,1106.83,3707.20,467.01,12124.98
2024-01,北辰市,自营小程序,清洁用品,40549.43,2110.06,38439.37,23506.61,14932.76,961.05,4508.00,405.49,9058.22
2024-01,北辰市,自营小程序,小家电,121002.39,12063.75,108938.64,84659.14,24279.50,2867.83,3298.40,1210.02,16903.25
2024-01,北辰市,第三方平台,厨房用品,47429.06,2941.03,44488.03,27597.92,16890.11,1050.07,3628.80,3889.18,8322.06
2024-01,北辰市,第三方平台,收纳用品,36473.50,2655.33,33818.17,19306.80,14511.37,807.52,2755.20,2990.83,7957.82
2024-01,北辰市,第三方平台,清洁用品,32281.61,1661.78,30619.83,17709.27,12910.56,714.71,3410.40,2647.09,6138.36
2024-01,北辰市,第三方平台,小家电,95343.26,9300.71,86042.55,63676.29,22366.26,2110.88,2475.20,7818.15,9962.03
2024-01,云岭市,自营App,厨房用品,72713.68,4505.94,68207.74,43766.86,24440.88,2095.46,5829.60,872.56,15643.26
2024-01,云岭市,自营App,收纳用品,56422.12,4182.93,52239.19,30728.78,21510.41,1625.97,4401.60,677.07,14805.77
2024-01,云岭市,自营App,清洁用品,48205.93,2505.06,45700.87,27675.64,18025.23,1389.19,5224.80,578.47,10832.77
2024-01,云岭市,自营App,小家电,145331.58,14293.10,131038.48,100162.31,30876.17,4188.15,3875.20,1743.98,21068.84
2024-01,云岭市,自营小程序,厨房用品,48680.58,3085.85,45594.73,29827.17,15767.56,1197.07,3953.60,486.81,10130.08
2024-01,云岭市,自营小程序,收纳用品,39442.54,2870.89,36571.65,21747.74,14823.91,969.90,3130.40,394.43,10329.18
2024-01,云岭市,自营小程序,清洁用品,33143.75,1695.50,31448.25,19359.15,12089.10,815.01,3668.00,331.44,7274.65
2024-01,云岭市,自营小程序,小家电,97545.33,9522.84,88022.49,68864.98,19157.51,2398.66,2671.20,975.45,13112.20
2024-01,云岭市,第三方平台,厨房用品,39615.28,2496.94,37118.34,23097.11,14021.23,875.75,3057.60,3248.45,6839.43
2024-01,云岭市,第三方平台,收纳用品,31664.11,2314.02,29350.09,16528.61,12821.48,699.98,2368.80,2596.46,7156.24
2024-01,云岭市,第三方平台,清洁用品,26754.44,1390.97,25363.47,14925.36,10438.11,591.45,2850.40,2193.86,4802.40
2024-01,云岭市,第三方平台,小家电,82851.47,8181.36,74670.11,55580.63,19089.48,1831.55,2144.80,6793.82,8319.31
2024-01,东澜市,自营App,厨房用品,120549.18,6306.74,114242.44,72661.63,41580.81,4020.74,8640.55,1446.59,27472.93
2024-01,东澜市,自营App,收纳用品,97501.85,5912.77,91589.08,52502.50,39086.58,3252.03,6812.45,1170.02,27852.08
2024-01,东澜市,自营App,清洁用品,84631.93,3699.51,80932.42,48644.61,32287.81,2822.77,8287.05,1015.58,20162.41
2024-01,东澜市,自营App,小家电,248613.68,20554.75,228058.93,171311.16,56747.77,8292.15,5948.90,2983.36,39523.36
2024-01,东澜市,自营小程序,厨房用品,80167.80,4143.35,76024.45,49107.41,26917.04,2352.70,5858.00,801.68,17904.66
2024-01,东澜市,自营小程序,收纳用品,67071.08,4148.00,62923.08,37170.59,25752.49,1968.34,4807.60,670.71,18305.84
2024-01,东澜市,自营小程序,清洁用品,55425.03,2373.89,53051.14,32477.26,20573.88,1626.57,5544.90,554.25,12848.16
2024-01,东澜市,自营小程序,小家电,165346.69,13470.85,151875.84,117359.04,34516.80,4852.45,4080.40,1653.47,23930.48
2024-01,东澜市,第三方平台,厨房用品,67080.77,3480.32,63600.45,38990.05,24610.40,1759.18,4656.10,5500.62,12694.50
2024-01,东澜市,第三方平台,收纳用品,52643.59,3214.60,49428.99,27517.08,21911.91,1380.56,3565.30,4316.77,12649.28
2024-01,东澜市,第三方平台,清洁用品,45003.59,1921.94,43081.65,25138.79,17942.86,1180.21,4317.75,3690.29,8754.61
2024-01,东澜市,第三方平台,小家电,136368.62,10908.88,125459.74,90824.55,34635.19,3576.24,3166.35,11182.23,16710.37
2024-01,海岳市,自营App,厨房用品,109061.70,5698.30,103363.40,66198.32,37165.08,3660.84,7736.60,1308.74,24458.90
2024-01,海岳市,自营App,收纳用品,86431.89,5333.33,81098.56,46532.01,34566.55,2901.23,6039.80,1037.18,24588.34
2024-01,海岳市,自营App,清洁用品,73382.62,3102.45,70280.17,42018.90,28261.27,2463.21,7191.20,880.59,17726.27
2024-01,海岳市,自营App,小家电,219894.66,17881.05,202013.61,151248.71,50764.90,7381.13,5267.15,2638.74,35477.88
2024-01,海岳市,自营小程序,厨房用品,69896.79,3664.00,66232.79,43216.89,23015.90,2013.65,5105.55,698.97,15197.73
2024-01,海岳市,自营小程序,收纳用品,55064.63,3318.99,51745.64,30109.35,21636.29,1586.35,3923.85,550.65,15575.44
2024-01,海岳市,自营小程序,清洁用品,48618.82,2089.65,46529.17,28396.93,18132.24,1400.66,4853.05,486.19,11392.34
2024-01,海岳市,自营小程序,小家电,144035.25,11766.97,132268.28,101537.23,30731.05,4149.51,3545.10,1440.35,21596.09
2024-01,海岳市,第三方平台,厨房用品,55303.21,2855.33,52447.88,32726.79,19721.09,1435.89,3868.30,4534.86,9882.04
2024-01,海岳市,第三方平台,收纳用品,45437.77,2806.73,42631.04,23742.42,18888.62,1179.74,3080.50,3725.90,10902.48
2024-01,海岳市,第三方平台,清洁用品,38900.52,1666.66,37233.86,21623.53,15610.33,1010.01,3701.65,3189.84,7708.83
2024-01,海岳市,第三方平台,小家电,117016.48,9622.45,107394.03,78458.31,28935.72,3038.21,2716.90,9595.35,13585.26
2024-01,南浦市,自营App,厨房用品,97832.53,5054.39,92778.14,59485.79,33292.35,3300.87,6673.60,1173.99,22143.89
2024-01,南浦市,自营App,收纳用品,77594.71,4695.22,72899.49,42296.16,30603.33,2618.04,5233.15,931.14,21821.00
2024-01,南浦市,自营App,清洁用品,65430.15,2829.05,62601.10,37381.95,25219.15,2207.61,6169.20,785.16,16057.18
2024-01,南浦市,自营App,小家电,197796.40,16254.12,181542.28,136054.54,45487.74,6673.64,4539.60,2373.56,31900.94
2024-01,南浦市,自营小程序,厨房用品,65011.41,3383.08,61628.33,40386.63,21241.70,1840.03,4534.75,650.11,14216.81
2024-01,南浦市,自营小程序,收纳用品,52048.82,3190.95,48857.87,28817.82,20040.05,1473.14,3540.50,520.49,14505.92
2024-01,南浦市,自营小程序,清洁用品,44666.43,1912.20,42754.23,25987.88,16766.35,1264.20,4277.70,446.66,10777.79
2024-01,南浦市,自营小程序,小家电,137131.80,11147.58,125984.22,96384.57,29599.65,3881.26,3239.80,1371.32,21107.27
2024-01,南浦市,第三方平台,厨房用品,51531.82,2668.67,48863.15,30551.03,18312.12,1369.36,3443.50,4225.61,9273.65
2024-01,南浦市,第三方平台,收纳用品,41190.71,2543.77,38646.94,21796.69,16850.25,1094.56,2696.60,3377.64,9681.45
2024-01,南浦市,第三方平台,清洁用品,34882.10,1488.37,33393.73,19248.65,14145.08,926.93,3196.15,2860.33,7161.67
2024-01,南浦市,第三方平台,小家电,103625.47,8520.71,95104.76,69365.61,25739.15,2753.65,2323.15,8497.29,12165.06
2024-01,榕川市,自营App,厨房用品,82317.55,4238.46,78079.09,50251.53,27827.56,2759.17,5645.40,987.81,18435.18
2024-01,榕川市,自营App,收纳用品,66619.32,4100.74,62518.58,36111.13,26407.45,2232.99,4510.50,799.43,18864.53
2024-01,榕川市,自营App,清洁用品,55725.02,2388.88,53336.14,31965.55,21370.59,1867.83,5267.10,668.70,13566.96
2024-01,榕川市,自营App,小家电,173429.46,13951.48,159477.98,118150.91,41327.07,5813.13,3977.00,2081.15,29455.79
2024-01,榕川市,自营小程序,厨房用品,54484.50,2865.46,51619.04,33803.33,17815.71,1555.90,3787.85,544.84,11927.12
2024-01,榕川市,自营小程序,收纳用品,45027.67,2777.23,42250.44,24840.01,17410.43,1285.85,3094.30,450.28,12580.00
2024-01,榕川市,自营小程序,清洁用品,37151.49,1580.14,35571.35,21846.46,13724.89,1060.93,3584.15,371.51,8708.30
2024-01,榕川市,自营小程序,小家电,115142.89,9272.91,105869.98,80323.47,25546.51,3288.11,2701.45,1151.43,18405.52
2024-01,榕川市,第三方平台,厨房用品,45464.84,2302.45,43162.39,26917.06,16245.33,1179.08,3031.25,3728.12,8306.88
2024-01,榕川市,第三方平台,收纳用品,36675.11,2263.23,34411.88,19275.35,15136.53,951.12,2391.05,3007.36,8787.00
2024-01,榕川市,第三方平台,清洁用品,30548.14,1300.32,29247.82,17103.76,12144.06,792.23,2808.15,2504.95,6038.73
2024-01,榕川市,第三方平台,小家电,89074.35,7340.26,81734.09,59330.52,22403.57,2310.03,1998.20,7304.10,10791.24
2024-02,北辰市,自营App,厨房用品,80856.61,5143.15,75713.46,48818.83,26894.63,2239.63,6316.80,970.28,17367.92
2024-02,北辰市,自营App,收纳用品,63823.60,4672.30,59151.30,34363.62,24787.68,1767.84,4950.40,765.88,17303.56
