month,city,sales_channel,category_l1,customer_type,product_detail_users,add_to_cart_users,order_submit_users,paying_customers
2024-01,北辰市,自营App,厨房用品,新客户,3172,1107,752,515
2024-01,北辰市,自营App,收纳用品,新客户,2719,873,593,398
2024-01,北辰市,自营App,清洁用品,新客户,2832,1030,701,469
2024-01,北辰市,自营App,小家电,新客户,2606,751,511,348
2024-01,北辰市,自营App,厨房用品,老客户,2521,988,670,496
2024-01,北辰市,自营App,收纳用品,老客户,2161,768,529,402
2024-01,北辰市,自营App,清洁用品,老客户,2251,913,632,473
2024-01,北辰市,自营App,小家电,老客户,2070,661,463,348
2024-01,北辰市,自营小程序,厨房用品,新客户,2241,781,545,367
2024-01,北辰市,自营小程序,收纳用品,新客户,1920,613,429,294
2024-01,北辰市,自营小程序,清洁用品,新客户,2000,737,516,355
2024-01,北辰市,自营小程序,小家电,新客户,1840,523,364,250
2024-01,北辰市,自营小程序,厨房用品,老客户,1650,648,442,336
2024-01,北辰市,自营小程序,收纳用品,老客户,1415,499,340,254
2024-01,北辰市,自营小程序,清洁用品,老客户,1474,596,418,313
2024-01,北辰市,自营小程序,小家电,老客户,1356,446,313,239
2024-01,北辰市,第三方平台,厨房用品,新客户,1704,595,408,280
2024-01,北辰市,第三方平台,收纳用品,新客户,1460,476,324,219
2024-01,北辰市,第三方平台,清洁用品,新客户,1521,558,379,257
2024-01,北辰市,第三方平台,小家电,新客户,1399,399,280,189
2024-01,北辰市,第三方平台,厨房用品,老客户,1268,498,341,260
2024-01,北辰市,第三方平台,收纳用品,老客户,1087,381,259,193
2024-01,北辰市,第三方平台,清洁用品,老客户,1133,464,325,248
2024-01,北辰市,第三方平台,小家电,老客户,1042,343,239,179
2024-01,云岭市,自营App,厨房用品,新客户,2702,942,661,456
2024-01,云岭市,自营App,收纳用品,新客户,2316,728,498,338
2024-01,云岭市,自营App,清洁用品,新客户,2412,880,611,409
2024-01,云岭市,自营App,小家电,新客户,2219,644,439,298
2024-01,云岭市,自营App,厨房用品,老客户,2042,792,545,408
2024-01,云岭市,自营App,收纳用品,老客户,1751,613,423,317
2024-01,云岭市,自营App,清洁用品,老客户,1823,724,498,374
2024-01,云岭市,自营App,小家电,老客户,1678,538,374,276
2024-01,云岭市,自营小程序,厨房用品,新客户,1843,659,453,309
2024-01,云岭市,自营小程序,收纳用品,新客户,1579,498,346,238
2024-01,云岭市,自营小程序,清洁用品,新客户,1645,599,412,283
2024-01,云岭市,自营小程序,小家电,新客户,1514,446,304,204
2024-01,云岭市,自营小程序,厨房用品,老客户,1417,544,379,280
2024-01,云岭市,自营小程序,收纳用品,老客户,1215,437,305,228
2024-01,云岭市,自营小程序,清洁用品,老客户,1266,501,343,261
2024-01,云岭市,自营小程序,小家电,老客户,1164,379,260,193
2024-01,云岭市,第三方平台,厨房用品,新客户,1454,502,351,236
2024-01,云岭市,第三方平台,收纳用品,新客户,1247,390,265,179
2024-01,云岭市,第三方平台,清洁用品,新客户,1298,489,343,229
2024-01,云岭市,第三方平台,小家电,新客户,1195,342,238,161
2024-01,云岭市,第三方平台,厨房用品,老客户,1077,422,288,217
2024-01,云岭市,第三方平台,收纳用品,老客户,923,331,230,172
2024-01,云岭市,第三方平台,清洁用品,老客户,962,389,268,198
2024-01,云岭市,第三方平台,小家电,老客户,885,293,204,155
2024-01,东澜市,自营App,厨房用品,新客户,4442,1519,1056,708
2024-01,东澜市,自营App,收纳用品,新客户,3808,1206,824,561
2024-01,东澜市,自营App,清洁用品,新客户,3967,1498,1031,693
2024-01,东澜市,自营App,小家电,新客户,3649,1034,719,484
2024-01,东澜市,自营App,厨房用品,老客户,3569,1371,940,713
2024-01,东澜市,自营App,收纳用品,老客户,3059,1086,743,558
2024-01,东澜市,自营App,清洁用品,老客户,3187,1296,893,665
2024-01,东澜市,自营App,小家电,老客户,2932,929,644,490
2024-01,东澜市,自营小程序,厨房用品,新客户,3132,1104,757,511
2024-01,东澜市,自营小程序,收纳用品,新客户,2685,859,600,412
2024-01,东澜市,自营小程序,清洁用品,新客户,2796,1009,705,484
2024-01,东澜市,自营小程序,小家电,新客户,2573,752,525,357
2024-01,东澜市,自营小程序,厨房用品,老客户,2351,896,609,454
