month,city,warehouse,sku,active_flag,in_stock_flag,opening_inventory_units,inbound_units,units_sold,ending_inventory_units
2024-01,北辰市,北区仓,KIT-COOK-01,1,1,158,415,245,328
2024-01,北辰市,北区仓,KIT-COOK-02,1,1,178,343,232,289
2024-01,北辰市,北区仓,KIT-COOK-03,1,1,171,462,295,338
2024-01,北辰市,北区仓,KIT-COOK-04,1,1,204,418,292,330
2024-01,北辰市,北区仓,KIT-COOK-05,1,1,150,368,228,290
2024-01,北辰市,北区仓,KIT-COOK-06,1,1,195,348,237,306
2024-01,北辰市,北区仓,KIT-COOK-07,1,1,138,425,246,317
2024-01,北辰市,北区仓,KIT-COOK-08,1,1,166,434,268,332
2024-01,北辰市,北区仓,KIT-TOOLS-01,1,1,116,440,252,304
2024-01,北辰市,北区仓,KIT-TOOLS-02,1,1,129,412,241,300
2024-01,北辰市,北区仓,KIT-TOOLS-03,1,1,141,450,255,336
2024-01,北辰市,北区仓,KIT-TOOLS-04,1,1,127,452,265,314
2024-01,北辰市,北区仓,KIT-TOOLS-05,1,1,166,295,214,247
2024-01,北辰市,北区仓,KIT-TOOLS-06,1,1,215,183,186,212
2024-01,北辰市,北区仓,KIT-TOOLS-07,1,1,204,189,183,210
2024-01,北辰市,北区仓,KIT-TOOLS-08,1,1,125,393,219,299
2024-01,北辰市,北区仓,STO-CLOTH-01,1,1,184,273,214,243
2024-01,北辰市,北区仓,STO-CLOTH-02,1,1,191,313,235,269
2024-01,北辰市,北区仓,STO-CLOTH-03,1,1,130,398,242,286
2024-01,北辰市,北区仓,STO-CLOTH-04,1,1,193,318,236,275
2024-01,北辰市,北区仓,STO-CLOTH-05,1,1,215,214,196,233
2024-01,北辰市,北区仓,STO-CLOTH-06,1,1,198,304,235,267
2024-01,北辰市,北区仓,STO-CLOTH-07,1,1,136,281,183,234
2024-01,北辰市,北区仓,STO-CLOTH-08,1,1,120,329,194,255
2024-01,北辰市,北区仓,STO-SPACE-01,1,1,184,341,222,303
2024-01,北辰市,北区仓,STO-SPACE-02,1,1,156,228,164,220
2024-01,北辰市,北区仓,STO-SPACE-03,1,1,130,344,203,271
2024-01,北辰市,北区仓,STO-SPACE-04,1,1,160,330,218,272
2024-01,北辰市,北区仓,STO-SPACE-05,1,1,170,176,152,194
2024-01,北辰市,北区仓,STO-SPACE-06,1,1,129,248,168,209
2024-01,北辰市,北区仓,STO-SPACE-07,1,1,106,359,216,249
2024-01,北辰市,北区仓,STO-SPACE-08,1,1,199,273,205,267
2024-01,北辰市,北区仓,CLN-TOOLS-01,1,1,207,370,253,324
2024-01,北辰市,北区仓,CLN-TOOLS-02,1,1,173,560,326,407
